Ref.Code,"Business unit","Client Name",Email,"Address Line","Split Rate","Booking Email","Invoicing Email","Invoice Address",Contact
BU95H9,"Montgomery House","Coverage Care Services",Montgomery@coveragecareservices.co.uk,"Sundorne Road, Shrewsbury, Shropshire, SY1 4RQ",ON,,,,"+44 1743 297970"
BU95H81,"Morris Care Centre","Morris Care",Carol.Jones@morriscare.co.uk,"Holyhead Rd, Wellington, Telford TF1 2EH, UK",ON,,"Carol.Jones@morriscare.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 262100"
BU95H137,"Mowbray Nursing Home","Minster care group",manager.mowbery@minstercaregroup.co.uk,"Victoria Rd, Great Malvern, Malvern WR14 2TF, UK",ON,,,,"+44 1684 572946"
BU95H118,"Needwood House Nursing Home","Mr & Mrs J R Mansell",luciaestosipo@bartonneedwoodcare.co.uk,"58-60 Stafford Street, Heath Hayes, Cannock, Staffordshire, WS12 2EH",ON,,"luciaestosipo@bartonneedwoodcare.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",luciaestosipo@bartonneedwoodcare.co.uk,"+44 1543 275688"
BU95H31,"Nethermoor House","Friendly care - Nethermoor House",sally@friendlycare.co.uk,"131 Chaseley Road, Etching Hill, Rugeley, Staffordshire, WS15 2LQ",ON,,"Nethermoor.admin@friendlycare.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1889 584368"
BU95H16,"New Fairholme","Coverage Care Services",Fairholme@coveragecareservices.co.uk,"Shrewsbury Road, Oswestry, Shropshire, SY11 2RT",ON,,,,"+44 1691 684970"
BU95H97,"North Close","Macintyre Care",nicole.griffiths@macintyrecharity.org,"6 North Cl, Shrewsbury SY3 7HF, UK",ON,,"finance@macintyrecharity.org, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1743 242358"
BU95H23,"Oak Lodge","Renu Ghai",oaklodge1a@yahoo.co.uk,"1A Adams Rd, Walsall Wood, Walsall WS8 7AN, UK",ON,,"oaklodge1a@yahoo.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk","1A Adams Rd, Walsall Wood, Walsall WS8 7AN, UK","+44 1543 372078"
BU95H46,"Oak Paddock","Trident Group",lucy.robinson@tridentreach.org.uk,"Racecourse Ln, Bicton Heath, Shrewsbury SY3 5BJ, UK",ON,,"invoices@tridentgroup.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1743 369679"
BU95H132,"Oaklands Care Home","Sahni Care Homes Limited",satish.sahni@nhs.net,"Wartell Bank, Kingswinford, West Midlands, DY6 7QJ",ON,,"satish.sahni@nhs.net, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1384 291070"
BU95H33,"Old School House","Old School House",oldschool@eezecare.co.uk,"17 Church St, Telford TF7 5BN, UK",ON,,,"17 Church St, Telford TF7 5BN, UK","+44 1952 582808"
BU95H157,"Pankhurst Way","Macintyre Care",nicole.griffiths@macintyrecharity.org,"10 Pankhurst Way, Shrewsbury SY2 5WP, UK",ON,,"finance@macintyrecharity.org, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1743 364210"
BU95H164,"PEG FEEDING TRAINING",Training,recruitment@ignitenursing.com,"Regent House, Bath Ave, Wolverhampton WV1 4EG, UK",ON,,,,"+44 300 303 5959"
BU95H163,"Practical Moving & Handling Training",Training,recrutiment@igntienursing.com,"Regent House, Bath Ave, Wolverhampton WV1 4EG, UK",ON,,,,"+44 300 303 5959"
BU95H145,"Priory Supported Living West Midlands","Priory Group",admin@priorygroup.co.uk,"6 Enville Road Wall Heath Kingswinford West Midlands DY6 0JT United Kingdom",ON,,"Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1384 400286"
BU95H108,"Private Road - Hugglescote","Accomplish Group",manager.lestercourt@tracscare.co.uk,"Private Road off Standard Hill, Hugglescote, Coalville, Leicestershire, LE67 3HN",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 7929 210270"
BU95H77,"Radbrook Nursing Home","Morris Care",t2emp@handfcare.com,"Stanhill Rd, Shrewsbury SY3 6AL, UK",ON,,"radbrook@morriscare.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1743 237800"
BU95H79,"Robin House (Bethphage)",Bethphage,na@handfcare.com,"97a London Road, Shrewsbury SY5 6QT, UK",ON,,"suppliers@bethphage.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1743 272880"
BU95H58,"Rowley House Nursing Home","Rowley Care Ltd",manager@rowleycare.co.uk,"Rowley House Nursing Home, 26 Rowley Ave, Stafford ST17 9AA, UK",ON,,"accounts@rowleycare.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1785 255279"
MI95H75,"Ruckley Home Farm  (Bethphage)",Bethphage,fmathews@bethphage.co.uk,"Ruckley, Acton Burnell, Shrewsbury SY5 7HR, UK",ON,,"suppliers@bethphage.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 7783 171447"
BU95H_177,"Sampson Park (Bungalow 1)","Swanton Care",Jade.parlour@swantoncare.com,"2 Sampson Park, Telford, TF7 5FD",ON,,,,"+44 7561 132458"
BU95H114,"Sampson park (Bungalow 2)","Swanton Care",Jade.parlour@swantoncare.com,"2 Sampson Park, Telford, TF7 5FD",ON,,"Invoices@swantoncare.com, Beth.Paley@teamfactors.co.uk, hamid@handfcare.com",,"+44 7561 132458"
BU95H_176,"Sampson park (Bungalow 4)","Swanton Care",Jade.parlour@swantoncare.com,"2 Sampson Park, Telford, TF7 5FD",ON,,,,"+44 7561 132458"
BU95H122,"Sampson Park (Bungalow 5)","Swanton Care",Jade.parlour@swantoncare.com,"2 Sampson Park, Telford, TF7 5FD",ON,,"Invoices@swantoncare.com, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 7561 132458"
BU95H53,"Severn Cottage","HF Trust Limited",matthew.ware@hft.org.uk,"4 Forbes Cl, Telford TF7 5LE, UK",ON,,"Finance@hft.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 432065"
BU95H_158,"Silverdale Nursing Home","Silverdale Care Homes Limited",debbie@silverdalecarehomesltd.co.uk,"6 Newcastle St, Silverdale, Newcastle ST5 6PQ, UK",ON,,,,"+44 1782 717204"
BU95H45,"St Joseph's Convent","St Joseph Care Ltd",manager@stjosephcare.co.uk,"Lichfield Rd, Stafford ST17 4LG, UK",ON,,"manager@stjosephcare.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1785 251577"
BU95H19,"Stone House","Coverage Care Services",Stonehouse@coveragecareservices.co.uk,"Union St, Bishops Castle SY9 5AJ, UK",ON,,,,"+44 1588 638487"
BU95H149,"Strathmore House","Priory Group",amandalawson@priorygroup.com,"27 Queens Park Avenue Dresden Stoke-on-Trent Staffordshire ST3 4AU United Kingdom",ON,,"amandalawson@priorygroup.com, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1782 595947"
BU95H20,"Test bu",test,fchf@gmail.com,"New York, NY, USA",ON,,,,"+91 98755 55555"
BU95H_178,"The Bramlings","Swanton Care",lisa.gold@swantoncare.com,"TF2 8DP",ON,,,,"+44 7443 176942"
BU95H14,"The Cottage Christian","Coverage Care Services",CottageC@coveragecareservices.co.uk,"Granville Road, Newport, Shropshire, TF10 7EQ",ON,,,,"+44 1952 825557"
BU95H110,"The Crown Apartment","Swanton Care",lisa.gold@swantoncare.com,"Sunnyside Rd, Telford TF2 0AA, UK",ON,,"Invoices@swantoncare.com, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 7551 840247"
BU95H57,"The Elms Care Home","Mr & Mrs J Surae",theelmesresidential@outlook.com,"The Elms, 13 Regent St, Bilston WV14 6AP, UK",ON,,"theelmesresidential@outlook.com, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1902 491890"
BU95H44,"The Ferns Residential Home","Pauline Arrowsmith",thefernsresidential@talktalk.net,"152 Longden Rd, Shrewsbury SY3 9ED, UK",ON,,"thefernsresidential@talktalk.net, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1743 368039"
BU95H59,"The Grove","Accomplish Group",manager.grove@accomplish-group.co.uk,"8 Blakebrook, Kidderminster DY11 6AP, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1562 820728"
BU95H111,"The Lawns Nursing Home","Heritage Manor Limited",Lawnsresidentservice@heritagemanor.co.uk,"The Lawns Nursing Home, 33 Main Rd, Kempsey, Worcester WR5 3NF, UK",ON,,"lawnsresidentservice@heritagemanor.co.uk, melanied@heritagemanor.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1905 821388"
BU95H35,"The New Barn","Bond Care",newbarnmanager@careww.co.uk,"Goldstone, Market Drayton TF9 2NA, UK",ON,,"newbarnmanager@careww.co.uk, Newbarnmanager@bondcare.co.uk, Newbarndeputy@bondcare.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1630 661583"
BU95H38,"The Old Posting Office","Accomplish Group",daniel.harrison@accomplish-group.co.uk,"Haughton, Stafford ST18 9EZ, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 1785 780817"
BU95H136,"The Orchards","HC-One Limited",simon.barnett@hc-one.co.uk,"164 Shard End Crescent, Birmingham, West Midlands, B34 7BP",ON,,"simon.barnett@hc-one.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 121 730 2040"
BU95H94,"The Rowans","Macintyre Care",debbie.hall@macintyrecharity.org,"46 Upper Rd, Meole Brace, Shrewsbury SY3 9JQ, UK",ON,,"finance@macintyrecharity.org, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1743 364210"
BU95H92,"The Ryland's","Macintyre Care",debbie.hall@macintyrecharity.org,"Greenfields Cres, Shifnal TF11 8EF, UK",ON,,"finance@macintyrecharity.org, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 412729"
MI95H112,"The Willows Care Home","Green Range Limited",info@willows58.com,"2 Tower Rd, Worcester WR3 7AF, UK",ON,,"info@willows58.com, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1905 20658"
MI95H138,"Vision Homes Association - 1C Toll Gate Road","Vision Homes Association",marie.watts@visionhomes.org.uk,"1C Tollgate Rd, Ludlow SY8 1TQ, UK",ON,,"marie.watts@visionhomes.org.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 7787 851689"
MI95H172,"Walsingham House","PAKS Trust",joy.lewis1@nhs.net,"33 Walsingham Dr, Nuneaton CV10 7RW, UK",ON,,,,"+44 24 7674 2200"
BU95H141,"Waverley House","Shaw Healthcare Limited",waverleyhouse.deputymanager@shaw.co.uk,"Etnam St, Leominster HR6 8AQ, UK",ON,,,,"+44 1568 612126"
BU95H64,"West Lodge (Bethphage)",Bethphage,jdavies@bethphage.co.uk,"Leighton Park, Bicton Heath, Shrewsbury SY3 5FT, UK",ON,,"suppliers@bethphage.co.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 7874 890510"
BU95H84,Westholme,"Accomplish Group",purchaseledger@accomplish-group.co.uk,"29 Greenhill Rd, Birmingham B13 9SS, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 121 449 6383"
BU95H148,"Woodbourne Priory Hospital","Priory Group",admin@priorygroup.co.uk,"21 Woodbourne Road Birmingham B17 8BY United Kingdom",ON,,"Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 121 434 4343"
BU95H103,Woodlands,"Accomplish Group",manager.woodlands@accomplish-group.co.uk,"435 Shirley Rd, Acocks Green, Birmingham B27 7NX, UK",ON,,"purchaseledger@accomplish-group.co.uk, Hamid@handfcare.com, Beth.Paley@teamfactors.co.uk",,"+44 121 778 5718"
BU95H_155,"Wordsley Hall Care Home","Minster care group",manager.wordsleyhall@minstercaregroup.co.uk,"Mill St, Wordsley, Stourbridge, Brierley Hill DY8 5SX, UK",ON,,,,"+44 1384 571606"
BU95H54,"Wrekin Cottage","HF Trust Limited",Daniel.steel@hft.org.uk,"8 Forbes Cl, Telford TF7 5LE, UK",ON,,"Finance@hft.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com",,"+44 1952 432065"
BU95H2,"York House",Livability,mearle@livability.org.uk,"Glebe Rd, Bayston Hill, Shrewsbury SY3 0PZ, UK",ON,,"POss@livability.org.uk, purchasing@livability.org.uk, purchases.oss@livability.org.uk, Beth.Paley@teamfactors.co.uk, Hamid@handfcare.com","Glebe Road ,  Bayston Hill ,  SY3 OPZ","+44 1743 874885"
